Year,Primary & utilities,Manufacturing & Construction,Manufacturing & Construction,Retail & Wholesale,Retail & Wholesale,Transportation and Storage,Services,Services,Services,Services,Services,Services,Education & Health,Education & Health,Services,Services,Total
1971,78,878,276,299,408,396,182,229,268,281,227,339,268,311,80,57,"4,579"
1972,76,831,280,300,405,382,189,232,267,285,229,341,278,315,79,57,"4,546"
1973,73,795,281,300,404,374,193,234,268,296,235,342,288,312,79,56,"4,529"
1974,71,758,267,289,393,361,191,234,267,297,234,343,293,309,78,55,"4,439"
1975,70,711,262,284,389,356,189,230,264,290,229,347,289,328,78,56,"4,371"
1976,69,677,256,277,380,345,188,226,257,286,225,338,288,335,79,56,"4,281"
1977,68,664,249,274,384,342,182,226,251,286,226,329,279,335,80,57,"4,231"
1978,67,659,254,277,391,342,187,229,259,293,230,327,278,342,83,59,"4,279"
1979,67,649,265,286,395,343,195,233,270,302,235,319,282,348,87,62,"4,337"
1980,66,615,267,289,392,341,199,232,277,306,236,307,283,348,90,64,"4,313"
1981,64,562,252,285,385,330,197,228,279,306,233,294,285,345,92,64,"4,199"
1982,62,534,240,279,374,318,195,223,278,305,234,288,281,345,90,64,"4,109"
1983,58,502,236,275,373,307,195,222,284,319,243,286,280,347,91,64,"4,080"
1984,57,480,239,274,386,306,202,226,290,339,255,280,283,355,95,66,"4,134"
1985,56,459,241,271,392,300,207,229,298,357,264,274,285,365,99,69,"4,166"
1986,53,426,234,265,390,286,205,226,311,367,272,270,288,367,97,68,"4,126"
1987,51,404,251,263,401,287,210,231,329,394,285,270,296,381,102,71,"4,226"
1988,49,382,257,259,407,285,217,236,347,418,300,265,307,400,103,72,"4,305"
1989,48,377,264,251,410,285,223,240,344,434,309,252,310,396,108,74,"4,324"
1990,46,350,258,239,409,285,224,241,343,437,319,256,279,373,113,79,"4,252"
1991,43,303,244,220,399,278,209,233,330,421,312,261,241,354,120,83,"4,051"
1992,43,282,223,210,389,264,203,225,312,409,305,254,234,342,118,82,"3,894"
1993,40,263,205,204,389,252,209,225,303,422,315,242,238,331,119,83,"3,840"
1994,35,260,211,219,397,254,230,233,313,446,329,234,235,331,124,85,"3,936"
1995,31,268,223,227,395,243,237,238,324,459,358,228,226,332,125,85,"4,000"
1996,31,264,207,220,347,247,205,247,336,468,367,224,228,352,132,98,"3,973"
1997,32,264,200,235,359,257,230,273,335,477,392,222,239,355,135,108,"4,110"
1998,35,260,226,241,391,272,255,295,336,499,426,221,248,344,132,116,"4,295"
1999,35,257,218,252,410,271,280,329,342,517,450,228,268,337,146,124,"4,459"
2000,38,253,238,259,418,271,286,351,356,545,482,229,272,352,150,131,"4,629"
2001,38,232,236,250,416,269,295,362,367,566,493,215,263,368,154,129,"4,652"
2002,32,207,234,246,406,261,302,348,355,550,470,237,280,369,159,129,"4,582"
2003,25,196,236,233,407,263,312,346,357,567,461,242,293,385,148,133,"4,602"
2004,26,189,240,229,407,256,316,322,340,565,462,241,305,399,149,133,"4,579"
2005,29,178,246,220,415,264,318,333,335,603,474,255,302,419,154,137,"4,682"
2006,30,166,259,216,418,263,318,351,340,636,482,244,304,408,162,136,"4,732"
2007,31,168,266,213,419,267,316,352,353,664,504,233,313,389,162,140,"4,788"
2008,32,158,273,206,424,280,330,365,367,694,503,233,319,434,175,135,"4,928"
2009,28,132,250,191,410,269,316,346,353,706,475,241,353,472,149,131,"4,823"
2010,29,127,234,182,399,252,324,347,356,733,485,233,359,463,156,138,"4,815"
2011,32,121,249,186,402,258,324,373,367,719,503,223,362,478,160,139,"4,894"
2012,31,125,277,207,424,261,344,368,382,754,510,219,376,508,170,136,"5,092"
2013,29,123,282,206,418,269,361,396,362,814,515,221,388,535,169,155,"5,242"
2014,33,132,280,203,440,276,376,431,363,859,553,223,411,545,194,150,"5,466"
2015,30,121,288,208,463,281,376,433,373,904,575,219,420,544,201,146,"5,581"
2016,30,129,291,205,467,282,389,449,370,915,584,223,424,575,213,139,"5,683"
2017,30,128,296,206,473,284,398,460,376,940,596,225,434,586,218,141,"5,791"
2018,30,127,302,207,480,286,406,471,382,965,608,226,444,598,223,144,"5,901"
2019,30,125,305,206,482,285,411,478,384,982,615,226,450,605,227,145,"5,956"
2020,30,123,308,205,484,284,416,485,386,999,622,226,457,611,230,146,"6,010"
2021,30,121,311,203,486,284,421,492,388,"1,015",629,225,463,617,233,147,"6,065"
2022,29,119,314,202,487,283,426,499,390,"1,032",635,225,469,623,236,148,"6,119"
2023,29,117,317,201,489,282,431,506,392,"1,049",642,224,476,629,239,149,"6,172"
2024,29,115,319,199,491,281,436,513,394,"1,066",648,224,482,635,242,150,"6,224"
2025,29,113,322,198,492,280,441,520,395,"1,083",655,223,488,641,245,150,"6,275"
2026,28,111,324,197,493,279,445,527,397,"1,100",661,222,494,647,248,151,"6,325"
2027,28,109,327,195,494,278,450,533,398,"1,116",667,221,500,652,251,152,"6,373"
2028,28,107,329,193,495,276,454,540,400,"1,133",673,220,506,658,254,153,"6,419"
2029,28,105,332,192,496,275,459,547,401,"1,149",678,220,512,663,257,153,"6,465"
2030,27,103,334,190,496,274,463,553,402,"1,165",684,219,518,668,259,154,"6,508"
2031,27,101,336,188,497,272,467,559,403,"1,181",689,217,523,672,262,155,"6,550"
2032,27,99,338,187,497,270,471,565,404,"1,197",694,216,529,677,265,155,"6,591"
2033,26,97,340,185,497,269,475,572,404,"1,213",699,215,534,681,267,156,"6,630"
