Year,Police,Population,Rate
1851,13000,,
1946,52106,,
1947,54843,,
1948,59305,,
1949,59990,,
1950,63091,,
1951,62629,,
1952,65742,,
1953,66487,,
1954,66766,,
1955,66097,,
1956,68572,,
1957,70350,,
1958,71533,,
1959,73171,,
1960,73063,,
1961,75985,46196200,164.4832259
1962,78564,46657300,168.3852259
1963,80373,46973100,171.1043129
1964,81227,47324300,171.6390945
1965,84539,47671400,177.3369358
1966,87136,47966500,181.660117
1967,91086,48271900,188.6936292
1968,91538,48510700,188.6965144
1969,91595,48738000,187.93344
1970,92446,48891100,189.0855391
1971,94436,49152000,192.1305339
1972,97943,49327100,198.5581962
1973,100190,49459000,202.5718272
1974,100727,49467900,203.620934
1975,102738,49469800,207.6782198
1976,107832,49459200,218.0221273
1977,109547,49440400,221.5738546
1978,108170,49442500,218.7793902
1979,109607,49508122,221.3919567
1980,112911,49603000,227.6293773
1981,116544,49634300,234.8053665
1982,118425,49581626,238.8485606
1983,119450,49616997,240.7441144
1984,119497,49713130,240.3731167
1985,118575,49860713,237.8124837
1986,119228,49998574,238.462801
1987,120360,50122984,240.1293586
1988,122208,50253568,243.1827328
1989,123659,50407826,245.3170664
1990,124759,50560628,246.7512864
1991,125453,50748033,247.207611
1992,125570,50875647,246.8174999
1993,126128,50985877,247.3783083
1994,125806,51116228,246.1175343
1995,125180,51271978,244.1489579
1996,124845,51410433,242.8398142
1997,125052,51559648,242.5385061
1998,124759,51720104,241.2195459
1999,123842,51933471,238.4627825
2000,121958,52140181,233.9040595
2001,123474,52359978,235.817517
2002,127268,52602143,241.9445155
2003,131425,52863238,248.6132234
2004,137119,53152022,257.975134
2005,139540,53575343,260.4556353
2006,139636,53950854,258.8207408
2007,140032,54387392,257.4714375
2008,139727,54841720,254.7823081
2009,139313,55235253,252.2175466
2010,139771,55692423,250.969508
2011,135072,56170927,240.4660333
2012,129328,56567796,228.6247815
2013,125004,56948229,219.5046311
2014,123329,57408654,214.8264964
2015,121702,57885413,210.2464053
2016,118779,58381217,203.4541349
2017,118079,58744595,201.0040243
2018,117456,59115809,198.6879686
2019,118456,59439840,199.2872121
2020,124253,59720000,208.0592766
2021,131297,,
